,NO.,summary
17,17301.txt,"['With the currency ban, Mr. Modi has managed to convince many disaffected Indians that he is on their side. We needed big and painful changes, really disruptive ones. But in the process, he has placed the Indian economy and his political future at risk. If the effects are prolonged, the public support for Modi could wane. “In 2014, he had presented himself as the big disrupter,” Mr. Pant said. They have been unable to pay the rent on their home, he said. “So if bribery is not stopped, how can black money be stopped?” he asked. “We can’t shift to a cashless mode overnight,” he said. In India, for that same $100 in taxes paid, $200 more is owed, he said. Collectively, the cash ban and other anticorruption initiatives have the potential to transform India, Mr. Pant and others said. “So far, he has taken control of the narrative and the people are with him,” Mr. Pant said. “He thinks he can continue to do it, but we really don’t know. ”']"
18,17302.txt,"['Once the workers gathered around, he detonated the vehicle. “If the securities forces can’t protect us, then allow us to do the job.']"
19,17303.txt,[]
20,17305.txt,"['No. 5 Giants at No. 5. No. The Giants, who had already locked up the No.']"
21,17306.txt,"['“I’m certainly not calling the F. B. I. to investigate. Then she said, “We’ll just sing,” and noted proudly of her song, “It went to No. 1. “We’re missing some of these vocals, but it is what it is,” she said. “I’m trying to be a good sport here,” she said. When the number ended, the crowd cheered her on. “It just don’t get any better,” she said, and then left the stage.']"
22,17307.txt,"['“Palmyra was very difficult,” Mr. Ubelmann said. It became a war of images. “We were working pro bono, not for any government, but to help the archaeologists,” he said. Time is of the essence, even in the case of    ruins, Mr. Butterlin said. “We need to know what places need to be stabilized and how looters have altered the sites,” he said. “Important evidence, like clandestine pits, can disappear very quickly through sandstorms and erosion. “What is more important, saving lives or saving stones? In reality, these two are inseparable. ”']"
23,17308.txt,"['’90” video. Naomi Campbell, model. I was more the active one. Cindy was sultry. They don’t have them anymore. Not that I’ve seen. When we did the Olympics, he sang there in London. That’s the memory I’m going to keep. It was a different time then. We extracted that from them. Tatjana Patitz, model. I was in my own zone. And I was smoking, even. It was very different those days. George was very nice, almost a little shy. He was mellow and kind. It’s funny. ” John Pearson, model. All the big girls are doing it. That wasn’t rehearsed. George was there, very warm and nice but very shy. I really didn’t realize how big it all was at the time. I was Linda. She was my favorite. I guess not. ,” it was an escape. I’d left MTV. My agent wasn’t calling. I was depressed. It was such a brilliant   capstone I’d ever heard. It was his    song. He wasn’t even in the video. It was such a joyous song.']"
24,17309.txt,"['“And we intend to do it. “They’ve been given a golden opportunity here,” said Trent Lott, the former Republican Senate majority leader. “You have to find a way to work with people across the aisle who will work with you. The Senate may be narrowly divided, but among the 48 senators in the Democratic caucus are 10 who will stand for   in two years in states that voted for Mr. Trump. The Senate must also consider Mr. Trump’s cabinet picks, and Senate Democrats are already trying to slow the process. Sessions until January because, she said, her schedule got too busy. “The senator doesn’t want to rush,” said her spokesman, Tom Mentzer. “This is no time for hubris,” Mr. McConnell said. “You have to perform. ”']"
25,17311.txt,"['Republicans who will take command of the Senate and House as the 115th Congress convenes on Tuesday have long been itching for a chance to do it their way, constantly grousing that President Obama and Congressional Democrats held back American progress and economic growth. Now they must show they can deliver. And they know it. ” That will not be easy. Republicans must also maneuver while facing slightly expanded Democratic minorities in the House and Senate, in a climate that is, in many respects, even more hostile than it was before the November elections. Republicans who have shied from the responsibility of government will now be called upon to support increases in the debt limit, approve annual budgets, endorse spending bills and back other   measures that they formerly left to the Democrats and some of their more compromising colleagues. Tensions could arise between House and Senate Republicans as well. ” “I am pretty giddy,” said Mr. Cole as he looked ahead. Republicans have won their chance. Now it is time to see what they can do with it.']"
26,17312.txt,"['Good morning. Here’s a snapshot of global markets. • Finally, our Asia correspondents don’t limit themselves to traditional news stories. Here are some of our favorites. Enjoy. Setting speed limits had been the states’ responsibility. Stretches of Germany’s autobahn have no maximum limit. It’s a far cry from one of the earliest speed restrictions. com.']"
27,17313.txt,"['He quickly convened an inquiry into the death, which led to   and banned the harsh techniques used at the prison. General Mattis led the United States Central Command from August 2010 to March 2013. “That is something that General Mattis is keenly aware of,” he added. “Lose moral legitimacy, lose the war. A. Torture is not effective in eliciting intelligence, the general felt. General Mattis declined to be interviewed. If we torture, we’ve lost who we are. Still, there were several other instances of prisoner abuse involving the division. ” The addition was, “First, do no harm.']"
28,17314.txt,"['Mr. Kurtulmus did not mention the Islamic State specifically, but he said Turkey would press the fight against terrorism. ” The Islamic State asserted in a statement that the attack had been carried out “in continuation of the blessed operations that the Islamic State is conducting against Turkey, the protector of the cross. A rare exception came in November, when the group claimed to be behind a deadly car bombing in southeastern Turkey. This turned the jihadists decidedly against Turkey, prompting their leaders to call for attacks there. The Turkish military said on Monday that it had struck Islamic State targets in Syria, killing at least 22 militants.']"
29,17317.txt,"['As it happened, the president solved the problem for them. “We’re no longer in   mode. At the same time, he added, “the counterterrorism challenges are real. ” Mr. Obama was a state senator from Illinois in October 2002 when he famously condemned Iraq as a “dumb war. ” But in the same speech he also said, “I don’t oppose all wars. Mr. Obama praised the Bush administration’s troop surge in Iraq that year not because he believed that the United States could transform Iraqi society, but because he thought that reducing the violence there would allow the nation to turn its attention to Afghanistan. “This is a war that we have to win,” he declared. But, he said, the military gave Mr. Obama only “variations” on “the more robust counterinsurgency model. “When he came in, everyone knew we were going to do more,” Mr. Eikenberry said. Mr. Obama listened for a while, then cut him off. “It can win wars and stabilize conflicts. ” Earlier, Mr. Obama had met for an hour with Mr. Karzai. The experience left a lasting imprint on the president, his aides said. “The most underappreciated part of foreign policy,” Mr. Rhodes said, “is dealing with flawed partners. Mr. Obama had rejected a chorus of calls in Washington to delay the drawdown, under which the residual force of American troops was to leave Afghanistan by the end of 2016. Mr. Obama, he said, was prodded by more than fear. “It doesn’t matter if we leave tomorrow or 10 years from now,” he declared, according to those in the room. He was, he conceded, a “broken record” on this issue. Mr. Obama liked that idea. ” Mr. Obama now seems at an uneasy peace. It continues to be,” Mr. Obama said. It’s still there. ”']"
30,17318.txt,"['). “For the others, appreciate them as you receive them and then kindly send them to the trash. “If you find yourself continually bypassing an item at the front, that is a signal to you that you just don’t like that item,” she said. “Get rid of it. And if I don’t, why am I holding onto it? “At that point, I realized that I had to involve her in the process. If your child is too young to read, label the containers with stickers or pictures. If not, where else could it go? “Take it easy, and go pile by pile,” she said. “If it’s too small, it won’t help. ”']"
31,17319.txt,"['” Mr. Netanyahu’s office, suggesting that he is the victim of a witch hunt, issued a statement over the weekend berating the news organizations for what it described as premature and politically motivated reports. “Try to replace the prime minister at the ballot boxes, as is accepted in democracies,” it added. ” “Hold off the celebrations don’t rush,” he added. ” Mr. Netanyahu is serving his third consecutive term in office, and his fourth over all. ” He added, “We are not expressing satisfaction at another’s misfortune. ” He called for a swift investigation for the sake of the country, saying, “A person who is being investigated is a person under pressure. Nonetheless, the accusations could chip away at Mr. Netanyahu’s standing. In that episode, too, Mr. Netanyahu and the lawyer, David Shimron, have denied any wrongdoing.']"
32,17321.txt,"['” Though ridiculed in some quarters as a ban on   email after hours, it is not quite that. It has long been legal, but not necessarily speedy. No judges need be involved. ”']"
33,17323.txt,"['There was one problem, however. The flight’s captain was passed out in the cockpit, apparently from drinking. After some delay, the flight did take off with a new crew.']"
34,17324.txt,"['1 million. In the riot in Manaus, inmates took dozens of fellow prisoners hostage.']"
35,17325.txt,"['The lower temperature makes the oxygen denser, which improves engine thrust. But the helium was even colder. Friction or the breaking of fibers could have provided the energy for ignition, the company said. supported that conclusion, the company said.']"
36,17326.txt,"['“But inside, it’s a whole world unto itself, and supercompetitive. Blatant body checking is banned, but there is plenty of contact. Each game has three periods, with each period lasting 12 minutes. He grew up playing roller hockey in Queens. S. A. R. wound up beating Frisch, solidifying its status as one of the league’s top teams.']"
37,17327.txt,"['“I didn’t make multiple copies to sell or anything,” he said. “I wrote three novels on an electric typewriter,” he said. “I had thrust myself into a kind of vacuum,” he said. ” “He was collecting real names,” Mr. Lethem said. “But when I read that, I thought, ‘Oh my God, that’s me. “All his letters were like mail art,” Mr. Lethem said. “David had a great, crazy brain. ”']"
38,17328.txt,"['In doing so, they were fulfilling their family’s dreams. When the couple arrived, they stayed with Ms. Canunayon’s family in New Jersey. He works at a   laundry, while his wife, 49, is a babysitter, a midwife and a nanny. In October 2015, they received their green cards. Only this time, he is not collecting a paycheck for it. “I cannot imagine myself not sharing the skills and   talent that I have,” he said. “It was a big problem, Mr. Canunayon said. When you work on the things you most love doing, it’s not work.']"
39,17330.txt,"['By noon, party leaders had a message for their charges: It was not going smoothly. By midmorning, Mr. Trump had weighed in, questioning the members’ priorities on Twitter. Minutes later, members emerged to say the changes had been scrapped. Instead, they wanted to allow lawmakers on the more powerful House Ethics Committee to shut down inquiries. Some Republicans joined in, saying the measure sent the wrong message to the public. Mr. Ryan and Mr. McCarthy had made clear on Monday that they, too, were opposed to the change. At first, on Tuesday morning, Mr. Ryan and Mr. McCarthy played down the changes. Even at home, he said, “I usually don’t win what we watch on TV.']"
40,17331.txt,"['Here’s the  .) Good morning. • Rough first day back. ” • Trump on trade. • Getting ready for legal fights. • Latest in Istanbul attack. • Challenges ahead for Netanyahu. The country has been highly divided over the case. • Rethinking death. • U. S. stocks were up on Tuesday. Here’s a snapshot of global markets. • New to read. ” • Alternate theory about the Titanic. • Recipe of the day. When she died in 1852, both Houses adjourned. com.']"
41,17332.txt,"['And debate will begin on Wednesday, before senators have even moved into their new offices. “Every   organization is calling my office,” said Representative Pete Sessions, Republican of Texas. We appreciate your feedback. “There’s no sense of foreboding in the House today,” Mr. Ryan said after his   “only the sense of potential. When he doesn’t, we will resist.']"
42,17333.txt,"['Mr. Trump also renewed his episodic campaign to persuade American companies to expand domestic manufacturing, criticizing General Motors via Twitter on Tuesday morning for making in Mexico some of the Chevrolet Cruze hatchbacks it sells domestically. But some Democrats are signaling a readiness to support Mr. Trump. “We wanted him to know that we’ll work with him on doing that,” Mr. Trumka said. ” Mr. Trump and his top advisers on trade, including Mr. Lighthizer, share a view that the United States in recent decades prioritized the ideal of free trade over its own  . He must be confirmed by the Senate. ” Mr. Trump has named a number of advisers on trade, leaving some ambiguity about the division of responsibilities. Mr. Trump also said Wilbur Ross, the billionaire investor and choice for commerce secretary, will play a key role. “He’ll be a dominant figure on trade, in harmony with Wilbur Ross and Navarro. Terry Branstad of Iowa, Mr. Trump’s choice for ambassador to China. ” Trade opponents on the left and the right, meanwhile, are hoping Mr. Trump means to break with several decades of   policy. Mr. Trump has promised to renegotiate Nafta the original process took most of three years. Mr. Trump already is seeking to exert influence by seizing the presidential bullhorn. Mr. Trump has criticized China for similar practices, setting the stage for a new round of confrontations. ”']"
43,17334.txt,"['But now, Mr. Trump appears to be siding with Mr. Assange over the conclusions of America’s intelligence services. It is not state parties. 0. But for star power, no one is going to beat Ms. Manigault. “It needs to be done. He did, after all, win the election. But he says he will hold a true, open news conference next Wednesday.']"
44,17335.txt,"['“This means we are very, very serious. The Democratic Party controls   of both the Assembly and the Senate in California.']"
45,17336.txt,"['When the military judges convicted Sgt. Now, some fear that in the lower ranks, it has begun to erode. ” Ilan Katz, one of Sergeant Azaria’s lawyers, vowed to appeal. “An    in the Israeli Army is not ‘everybody’s child,’” he said. Israeli soldiers killed one and wounded the other, Mr. Sharif, 21. “Fifty years of occupation add up to much more than one Azaria,” Mr. Tibi wrote.']"
46,17337.txt,"['But such options are cumbersome and costly, making them impractical for many work situations. The researchers measured their heart rates and stress hormone levels and asked them to rank, on a numerical scale, how energetic or tired they felt, as well as how happy they were, and whether they were feeling peckish or had little appetite just then. Then, on three subsequent visits to the clinic, each volunteer simulated a   workday. And periodically throughout each day, they asked their volunteers to numerically rate their moods, energy, fatigue and appetites. The researchers then analyzed the data. On other measures, though, the   walks were more potent than the concentrated   version. There were no differences on the scores on the cognitive tests, whether they sat all day or got up and moved.']"
47,17338.txt,"['5 percent. 9 percent, and Barron’s returned 5. 3 percent. 6 percent. 5 percent in the same period.']"
48,17339.txt,"['Kelly.) In a brief interview, Mr. That show will be in the vein of CBS’s “60 Minutes,” where Mr. “You don’t get that opportunity that often any more, and you don’t get the opportunity to do that with a talent like Megyn. “How about if we merge a little Charlie Rose, a little Oprah, and a little me all together,’’ she said.']"
49,17340.txt,"['In switching networks at a pivotal point in her career, Ms. Kelly, the No. There are challenges from the  . In Ms. Pauley’s case, NBC invested millions of dollars, but the show was yanked in 2005 after just one year. “Rock Center,” which Brian Williams hosted, lasted two seasons. It is not clear who will replace her.']"
50,17341.txt,"['“There are these great plans and ideas. But when it gets down to the   level in the provinces, it’s like people doing their own thing. It’s not just a question of spending money, it’s attitude. “It still exists,” Mr. Wilson said. “Just not so blatantly. ” For Xi, soccer has been a passion since childhood. “Look how healthy I am,” Mr. Xi told young soccer players at the school. ” Yet there is deep cultural resistance, even at Bayi. “The kids are getting better, year by year,” he said hopefully. Some schools, facing a shortage of coaches and space for fields, have devised their own drills, like soccer gymnastics, in which children stand in lines tossing a ball up, down and around. Some schools are trying his way. “But at midday I notified the kids that it was back on, and they all went crazy with relief. ”']"
51,17342.txt,"['In the technology industry, the sharks have never long been safe from the minnows. So, happy New Year. In 2017, the Five are bigger than ever. Few in the tech industry supported Mr. Trump, but the industry’s antipathy seemed to matter little to the public. But as Mr. Genachowski noted, as the disrupters grow, the dynamic often shifts. That’s where we are now.']"
52,17344.txt,"['Details were sparse, and there were no clues to the gunman’s motives. The suspect in the shooting, Mr. Chen, was found dead in the exhibition center. He had taken his own life, the report said without giving details.']"
53,17345.txt,"['Murders also fell, to 335 from 352 the year before. “By going after the gang members, arresting them, we recognize the resultant reduction in violence. But domestic killings rose slightly, to 57 last year from 49 in 2015.']"
54,17346.txt,"['But he is no longer, by his own calculations, a member of the “elite. From there on, United States history might be seen as a repeating cycle of   revolt. ” “They rule the big corporations,” Mills wrote. “They run the machinery of the state and claim its prerogatives. As individuals, they might be Republicans or Democrats, and might live in Ohio or California. Otherwise, the man in the White House will do it for them.']"
55,17347.txt,"['And, of course, at least several can now be found on YouTube. They were married Oct. 8. “I told her I had a mission for her from the president of the United States,” he said. Mission accomplished. They were married Nov. 26. “We’re both passionate about cities and infrastructure,” Mr. Meagher said. They were married Jan. 9. “Not in the middle of a song,” said Ms. Phillips, who was there with a friend. She forgave him, he sat down next to her, and they began talking. They were soon dating, and in August 2015, while sitting in those same seats, Mr. Fogelman turned to Ms. Phillips at intermission and proposed. ” They were married Sept. 4. They were married May 7. Check yes or no. ” Ms. Marini checked “yes,” and she and Ms. Roth, who came out of hiding, cried in each other’s arms. “This was much more intimate to me, and much more meaningful. ” They were married Aug. 6. She turned to find him down on one knee, holding her engagement ring. “I was freaking out,” she said. ” They were married March 11. Then he proposed, and Ms. Helmling cried some more. They were married Nov. 13. At the time, Mr. Stucky was living in Somerville, Mass. and going through a divorce. They were soon dating, but their relationship began to sputter. In the space of three years, each of them proposed to the other, and each was soundly rejected. They were married June 11.']"
56,17348.txt,"['“I got my kids,” Ms. Rivera said. But Ms. Rivera has a plan. ” “And you see these kids dancing, and you see me dancing in the living room, too,” Ms. Rivera said. “I felt like joining them,” she said, beaming. “Don’t say, ‘I can’t,’” she said. You could do it.']"
57,17349.txt,"['” But as Republicans expressed eagerness to repeal the law, they acknowledged that replacing it would take more time. “There will naturally be a reasonable transition period,” said Senator Ted Cruz, Republican of Texas. ” Senator John Cornyn of Texas, the No. ” “When your truck or car is in a ditch, the first thing you need to do is get out of the ditch,” Mr. Cornyn said. ” “That doesn’t help me get anywhere in terms of transportation,” she said. “If you are repealing, show us what you’ll replace it with first,” Mr. Schumer said. “Then we’ll look at what you have and see what we can do. ” He added, “They really need to calm things down a little. ”']"
58,17350.txt,['Here is a primer. Q. A. Q. A. Q. A. ” Q. A. Q.']
59,17352.txt,['“Mr.']
60,17353.txt,"['The newly renovated house, with its sleekly modern décor, sold for $5. “It will be great to have them as neighbors,” Mr. Podesta said of Ms. Trump and Mr. Kushner, who have three children. “It’s quiet, it’s private, and they’ll be graciously received,” Mr. Damgard said.']"
61,17354.txt,"['He is the insider’s insider  —   a deal maker. If Mr. Clayton is confirmed, he may have to recuse himself from some matters. A similar scrutiny was applied to Mary Jo White, the agency’s current chairwoman. Still, such recusals are not unusual. Sullivan  Cromwell, where Mr. Clayton is a partner, has been Goldman’s   law firm for more than a century. The S. E. C. nomination follows the appointment of Goldman’s No. Mr. Trump’s chief strategist, Stephen K. Bannon, is a former Goldman banker. “Mr. Clayton’s background is very impressive  —   both for the depth of his experience, and for the quality of his efforts.']"
62,17355.txt,"['Three minutes after walking to the lectern, Mr. Roof returned to the defense table, exhaling deeply. “I am not sorry. ” Mr. Mr. Mr. “The point is that I’m not going to lie to you, not by myself or through somebody else,” Mr. Roof told the jury. Mr. “It wasn’t my time,” Ms. Pinckney answered. ” The Rev. In addition to Mr. Pinckney, the victims were the Rev. Sharonda   45 and Myra Thompson, 59. Near the end of the day, Ms. Thompson’s widower, the Rev. “She had her glow,” he said. “I mean, this smile on her face. She was radiant. I just kept looking at her.']"
63,17356.txt,"['“America Chief Suspect,” one headline blared after the attack. Period. The West, symbolized by the United States, is the perennial bogeyman. “We are not holding the new administration responsible for this,” Mr. Yildirim said. ” Meanwhile, the nightclub assailant is on the loose. “I feel like I am in his movies,” he said. ”']"
64,17358.txt,"['“When you cut off the water, we dig for water. When you cut off the tap, we make a tap. The crisis began on Dec. 22, when the water stopped flowing. “But we are not in a position to say by whom,” he said. “The area has been the scene of much fighting, so we have not been able to access it. ” Now, 5. “We are fed up with the news of military operations,” she said. He estimated that 1. “They’re beginning to talk about rebuilding their lives and livelihoods,” Mr. Malik said.']"
